stress,strain,T,strainrate,porosity
1622.1859895441835,0.0856,20,500,0
1624.8370025865315,0.0861,20,500,0
1627.4902264641896,0.0866,20,500,0
1630.1456502360234,0.0871,20,500,0
1632.8032630775897,0.0876,20,500,0
1635.4630542792302,0.0881,20,500,0
1638.1250132442137,0.0886,20,500,0
1640.7891294869096,0.0891,20,500,0
1643.455392631009,0.0896,20,500,0
1646.123792407779,0.0901,20,500,0
1648.7943186543566,0.0906,20,500,0
1651.466961312079,0.0911,20,500,0
1654.1417104248485,0.0916,20,500,0
1656.8185561375321,0.0921,20,500,0
1659.4974886943937,0.0926,20,500,0
1662.1784984375627,0.0931,20,500,0
1664.8615758055275,0.0936,20,500,0
1667.5467113316677,0.0941,20,500,0
1670.2338956428111,0.0946,20,500,0
1672.923119457822,0.0951,20,500,0
1675.6143735862192,0.0956,20,500,0
1678.3076489268187,0.0961,20,500,0
1681.0029364664065,0.0966,20,500,0
1683.7002272784384,0.0971,20,500,0
1686.3995125217616,0.0976,20,500,0
1689.1007834393668,0.0981,20,500,0
1691.804031357161,0.0986,20,500,0
1694.5092476827663,0.0991,20,500,0
1697.216423904341,0.0996,20,500,0
1699.9255515894224,0.1001,20,500,0
1702.6366223837977,0.1006,20,500,0
1705.3496280103877,0.1011,20,500,0
1708.0645602681598,0.1016,20,500,0
1710.7814110310555,0.1021,20,500,0
1713.5001722469433,0.1026,20,500,0
1716.2208359365882,0.1031,20,500,0
1718.9433941926395,0.1036,20,500,0
1721.6678391786422,0.1041,20,500,0
1724.3941631280613,0.1046,20,500,0
1727.122358343328,0.1051,20,500,0
1729.8524171949002,0.1056,20,500,0
1732.5843321203438,0.1061,20,500,0
1735.3180956234273,0.1066,20,500,0
1738.0537002732344,0.1071,20,500,0
1740.791138703295,0.1076,20,500,0
1743.5304036107236,0.1081,20,500,0
1746.2714877553858,0.1086,20,500,0
1749.014383959066,0.1091,20,500,0
1751.7590851046607,0.1096,20,500,0
1754.50558413538,0.1101,20,500,0
1757.2538740539649,0.1106,20,500,0
1760.0039479219176,0.1111,20,500,0
1762.7557988587469,0.1116,20,500,0
1765.509420041224,0.1121,20,500,0
1768.2648047026532,0.1126,20,500,0
1771.0219461321544,0.1131,20,500,0
1773.780837673958,0.1136,20,500,0
1776.5414727267112,0.1141,20,500,0
1779.3038447427962,0.1146,20,500,0
